"run_id","status","exit_code","duration_sec","rendered_dir","timestamp","error"
"subset10_g3pro_iconcatalog_20260216_020032","ok","0","13.12","C:\Users\anupk\Documents\workspace\A2UI\dataset\data\runs\subset10_g3pro_iconcatalog_20260216_020032\rendered","2026-02-18T02:24:17","2026-02-18 02:24:04 INFO dataset: Stage4 HTTP server started on port 50348 | 2026-02-18 02:24:16 INFO dataset: Stage4 complete. Rendered outputs stored at C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\subset10_g3pro_iconcatalog_20260216_020032\rendered"
"subset10_g3pro_iconcatalog_headings_20260216_091411","ok","0","2.07","C:\Users\anupk\Documents\workspace\A2UI\dataset\data\runs\subset10_g3pro_iconcatalog_headings_20260216_091411\rendered","2026-02-18T02:24:19","2026-02-18 02:24:18 INFO dataset: Stage4 HTTP server started on port 51956 | 2026-02-18 02:24:19 INFO dataset: Stage4 complete. Rendered outputs stored at C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\subset10_g3pro_iconcatalog_headings_20260216_091411\rendered"
"subset10_g3pro_iconcatalog_v2_20260216_021201","ok","0","2.06","C:\Users\anupk\Documents\workspace\A2UI\dataset\data\runs\subset10_g3pro_iconcatalog_v2_20260216_021201\rendered","2026-02-18T02:24:21","2026-02-18 02:24:20 INFO dataset: Stage4 HTTP server started on port 51960 | 2026-02-18 02:24:21 INFO dataset: Stage4 complete. Rendered outputs stored at C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\subset10_g3pro_iconcatalog_v2_20260216_021201\rendered"
"subset10_g3pro_iconcatalog_v3_20260216_022253","ok","0","2.07","C:\Users\anupk\Documents\workspace\A2UI\dataset\data\runs\subset10_g3pro_iconcatalog_v3_20260216_022253\rendered","2026-02-18T02:24:23","2026-02-18 02:24:22 INFO dataset: Stage4 HTTP server started on port 51965 | 2026-02-18 02:24:23 INFO dataset: Stage4 complete. Rendered outputs stored at C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\subset10_g3pro_iconcatalog_v3_20260216_022253\rendered"
"subset10_g3pro_media_realretry_20260215_173943","skipped_no_genui","","0","C:\Users\anupk\Documents\workspace\A2UI\dataset\data\runs\subset10_g3pro_media_realretry_20260215_173943\rendered","2026-02-18T02:24:23",""
"subset10_g3pro_media_realretry2_20260215_175408","skipped_no_genui","","0","C:\Users\anupk\Documents\workspace\A2UI\dataset\data\runs\subset10_g3pro_media_realretry2_20260215_175408\rendered","2026-02-18T02:24:23",""
"subset10_g3pro_media_realretry3_20260215_180151","skipped_no_genui","","0","C:\Users\anupk\Documents\workspace\A2UI\dataset\data\runs\subset10_g3pro_media_realretry3_20260215_180151\rendered","2026-02-18T02:24:23",""
"subset10_g3pro_media_realretry4_20260215_181410","skipped_no_genui","","0","C:\Users\anupk\Documents\workspace\A2UI\dataset\data\runs\subset10_g3pro_media_realretry4_20260215_181410\rendered","2026-02-18T02:24:23",""
"subset10_g3pro_media_realretry5_20260215_182947","ok","0","2.06","C:\Users\anupk\Documents\workspace\A2UI\dataset\data\runs\subset10_g3pro_media_realretry5_20260215_182947\rendered","2026-02-18T02:24:25","2026-02-18 02:24:24 INFO dataset: Stage4 HTTP server started on port 51972 | 2026-02-18 02:24:25 INFO dataset: Stage4 complete. Rendered outputs stored at C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\subset10_g3pro_media_realretry5_20260215_182947\rendered"
"subset10_g3pro_media_rich_20260214_180112","skipped_no_genui","","0","C:\Users\anupk\Documents\workspace\A2UI\dataset\data\runs\subset10_g3pro_media_rich_20260214_180112\rendered","2026-02-18T02:24:25",""
